period,demand,DC_jobs,DC_idle_energy,DC_active_energy,DC_energy,DC_op_co2,DC_emb_co2,DC_idle_co2,SDC_jobs,SDC_idle_energy,SDC_active_energy,SDC_energy,SDC_op_co2,SDC_emb_co2,SDC_idle_co2,EDGE_ZONE1_jobs,EDGE_ZONE1_idle_energy,EDGE_ZONE1_active_energy,EDGE_ZONE1_energy,EDGE_ZONE1_op_co2,EDGE_ZONE1_emb_co2,EDGE_ZONE1_idle_co2,EDGE_ZONE2_jobs,EDGE_ZONE2_idle_energy,EDGE_ZONE2_active_energy,EDGE_ZONE2_energy,EDGE_ZONE2_op_co2,EDGE_ZONE2_emb_co2,EDGE_ZONE2_idle_co2,EDGE_ZONE3_jobs,EDGE_ZONE3_idle_energy,EDGE_ZONE3_active_energy,EDGE_ZONE3_energy,EDGE_ZONE3_op_co2,EDGE_ZONE3_emb_co2,EDGE_ZONE3_idle_co2,total_energy,total_co2
32,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.32283008,0.41600000000000004,0.022775999999999998,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,15.535138337317385,14.426611578377816,2.5380112616201904,0.0,16.6665,0.0,16.6665,0.0,0.0,2.31164355,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,4.021626449999999,0,40.94296710731539
33,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.4043744,0.41600000000000004,0.02418,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,26.29092462151388,22.997267227386768,1.9945968127490068,0.0,16.6665,0.0,16.6665,0.0,0.0,2.4541421249999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.364163025,0.0,16.6665,0.0,16.6665,0.0,0.0,4.3066236,0,60.25227181164966
34,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.4949792000000002,0.41600000000000004,0.025740000000000002,2248560.0,12.492,262.332,274.824,34.627824000000004,28.454,1.6489440000000002,0.0,16.6665,0.0,16.6665,0.0,0.0,2.612473875,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,4.779339969898176,10.936704736609112,0.24467952575254667,0.0,16.6665,0.0,16.6665,0.0,0.0,4.52828805,0,89.76897335725985
35,5079681.274900398,2246400.0,1.04,60.4032,61.4432,1.5402816000000001,0.41600000000000004,0.026520000000000002,2248560.0,12.492,262.332,274.824,35.677152,28.454,1.6989120000000002,0.0,16.6665,0.0,16.6665,0.0,0.0,2.69163975,584721.274900398,3.67269389110226,519.75224435591,523.4249382470123,11.850351171314747,25.98761221779547,0.08373742071713153,0.0,16.6665,0.0,16.6665,0.0,0.0,4.749952499999999,0,113.17615865982737
36,5079681.274900398,2246400.0,1.04,60.4032,61.4432,1.59464448,0.41600000000000004,0.027455999999999998,2248560.0,12.492,262.332,274.824,36.936345599999996,28.454,1.7588736,0.0,16.6665,0.0,16.6665,0.0,0.0,2.7866387999999995,584721.274900398,3.67269389110226,519.75224435591,523.4249382470123,11.850351171314747,25.98761221779547,0.08373742071713153,0.0,16.6665,0.0,16.6665,0.0,0.0,4.9082842499999995,0,114.80394353982733
37,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.62182592,0.41600000000000004,0.027923999999999997,2248560.0,12.492,262.332,274.824,37.5659424,28.454,1.7888544,0.0,16.6665,0.0,16.6665,0.0,0.0,2.8341383249999996,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,4.779339969898176,10.936704736609112,0.24467952575254667,0.0,16.6665,0.0,16.6665,0.0,0.0,4.987450125,0,93.65685940225983
38,4402390.438247012,2246400.0,1.04,60.4032,61.4432,1.6308863999999998,0.41600000000000004,0.028079999999999997,2155990.43824701,13.2634130146082,251.532217795485,264.7956308100932,36.22063936254984,27.282595051891178,1.9099314741035809,0.0,16.6665,0.0,16.6665,0.0,0.0,2.8499714999999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3799962,0.0,16.6665,0.0,16.6665,0.0,0.0,5.050782825,0,75.76888281354458
39,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.6308863999999998,0.41600000000000004,0.028079999999999997,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,30.53139633466128,22.997267227386768,2.3163059760956206,0.0,16.6665,0.0,16.6665,0.0,0.0,2.8499714999999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3799962,0.0,16.6665,0.0,16.6665,0.0,0.0,5.082449175,0,66.23235281314368
40,3725099.6015936257,2246400.0,1.04,60.4032,61.4432,1.6399468799999999,0.41600000000000004,0.028236,1478699.60159363,18.9075033200531,172.514953519256,191.42245683930912,24.98016526958827,18.711939402882358,2.737806480743689,0.0,16.6665,0.0,16.6665,0.0,0.0,2.8658046749999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3799962,0.0,16.6665,0.0,16.6665,0.0,0.0,5.082449175,0,56.842344083214314
41,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.6308863999999998,0.41600000000000004,0.028079999999999997,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,19.152910278884445,14.426611578377816,3.1290549800796867,0.0,16.6665,0.0,16.6665,0.0,0.0,2.8499714999999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3799962,0.0,16.6665,0.0,16.6665,0.0,0.0,5.03494965,0,47.04846058734196
42,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.5855839999999999,0.41600000000000004,0.027299999999999998,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,18.620884993359876,14.426611578377816,3.042136786188584,0.0,16.6665,0.0,16.6665,0.0,0.0,2.7708056249999995,0.0,16.6665,0.0,16.6665,0.0,0.0,0.364163025,0.0,16.6665,0.0,16.6665,0.0,0.0,4.97161695,0,46.22510295792628
43,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.51310016,0.41600000000000004,0.026052000000000002,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,28.326351043824634,22.997267227386768,2.149017211155382,0.0,16.6665,0.0,16.6665,0.0,0.0,2.644140225,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,4.829118374999999,0,63.24937609236678
44,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.41343488,0.41600000000000004,0.024336,2248560.0,12.492,262.332,274.824,32.7390336,28.454,1.5590016000000002,0.0,16.6665,0.0,16.6665,0.0,0.0,2.4699752999999998,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,4.363745189907031,10.936704736609112,0.22340304525232524,0.0,16.6665,0.0,16.6665,0.0,0.0,4.607453925,0,87.20708827676849
45,5418326.693227092,2246400.0,1.04,60.4032,61.4432,1.34095104,0.41600000000000004,0.023087999999999997,2248560.0,12.492,262.332,274.824,31.0601088,28.454,1.4790528,173374.193227092,12.8137401505091,154.110393979637,166.9241341301461,21.66792139353696,7.705519698981867,1.8016118651615791,749992.5,0.0,666.66,666.66,12.666539999999998,33.333,0.0,0.0,16.6665,0.0,16.6665,0.0,0.0,4.385789475,0,144.3335830726804
46,6095617.529880477,2246400.0,1.04,60.4032,61.4432,1.27752768,0.41600000000000004,0.021995999999999998,2248560.0,12.492,262.332,274.824,29.591049599999998,28.454,1.4090976,749992.5,0.0,666.66,666.66,89.29910699999998,33.333,0.0,749992.5,0.0,666.66,666.66,12.033212999999998,33.333,0.0,100672.529880477,14.4293326693227,89.4866932270908,103.9160258964135,22.44326266135437,4.474334661354533,3.6188766334661335,0,259.704464836175
47,5756972.111553784,2246400.0,1.04,60.4032,61.4432,1.24128576,0.41600000000000004,0.021372000000000002,2248560.0,12.492,262.332,274.824,28.751587200000003,28.454,1.3691232000000002,512019.611553784,5.2882864099159,455.128543603364,460.4168300132799,59.23497994997783,22.756427180168178,0.6882704762505543,749992.5,0.0,666.66,666.66,12.033212999999998,33.333,0.0,0.0,16.6665,0.0,16.6665,0.0,0.0,4.021626449999999,0,192.32088521639656
48,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.2322252800000002,0.41600000000000004,0.021216000000000002,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,23.06816611952186,22.997267227386768,1.7500978486055803,0.0,16.6665,0.0,16.6665,0.0,0.0,2.1533118,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.8949610499999996,0,55.8657420005142
